kList(5),            Time(us),                Time%,   Calls (Top 482, sorted by time)
-------------------------------------------------------------
('aten::resize_', 'aten::add', 'aten::gather', 'aten::empty', 'aten::resize_'), 9029.134000000002, 0.20413914268901562%, 1
('aten::slice_backward', 'aten::zeros', 'aten::empty', 'aten::zero_', 'aten::fill_'), 8889.865000000107, 0.2009904183193103%, 5
('aten::empty', 'aten::as_strided', 'aten::fill_', 'aten::conv1d', 'aten::convolution'), 8473.548999999992, 0.19157795513870582%, 1
('aten::resize_', 'aten::gather', 'aten::empty', 'aten::resize_', 'aten::cat'), 8169.816000000001, 0.18471087417320448%, 1
('aten::copy_', 'aten::add_', 'aten::unsafe_chunk', 'aten::unsafe_split', 'aten::narrow'), 7996.590999999811, 0.18079444066005212%, 84
('aten::threshold', 'aten::empty', 'aten::slice', 'aten::as_strided', 'aten::add'), 7947.52899999998, 0.17968520087929643%, 5
('aten::as_strided', 'aten::copy_', 'aten::add_', 'aten::unsafe_chunk', 'aten::unsafe_split'), 7492.42099999974, 0.16939569172471286%, 84
('aten::l1_loss', 'aten::sub', 'aten::empty', 'aten::abs_', 'aten::abs'), 7273.813000000082, 0.1644531967185594%, 1
('aten::addmm_', 'aten::zero_', 'aten::fill_', 'aten::resize_', 'aten::zero_'), 7180.271999999415, 0.162338333925914%, 5
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 7178.707999999984, 0.16230297354483544%, 6
('aten::resize_', 'aten::resize_', 'aten::zero_', 'aten::fill_', 'aten::resize_'), 7169.755999999936, 0.1621005783200706%, 6
('aten::l1_loss_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 7086.239999999991, 0.1602123701440922%, 1
